team_id,team_name,team_label
459,Netherlands Under-15s,NU
460,Gloucestershire Cricket Board,GCB
461,Manicaland,M
462,Baroda Under-19s,BU
463,Zimbabwe Under-13s,ZU
464,Hampshire,H
465,Middlesex 2nd XI,M2X
466,Tamil Nadu,TN
467,Leicestershire Cricket Board,LCB
468,Barbados,B
469,Sri Lanka Women,SLW
470,Sri Lanka Cricket Development XI,SLCDX
471,United Arab Emirates Women,UAEW
472,Nondescripts Cricket Club,NCC
473,Essex,E
474,Deccan Chargers,DC
475,Rajshahi Division,RD
476,England Lions,EL
477,North West Under-19s,NWU
478,Scotland Under-19s,SU
479,Boland Under-17s,BU
480,Wales Minor Counties,WMC
481,Otago Women,OW
482,Wiltshire,W
483,Shakthi Ladies,SL
484,Western Province Under-19s,WPU
