match_id,tournament_id,venue_id,match_date,team_1,team_2,toss_winner,toss_decision,batting_team,chasing_team,player_of_match,match_winner,match_win_by_runs,match_win_by_wickets,highlights_url,match_url,match_description
257,5,31,['2008-05-01'],423,52,423,bat,423,52,2076,423,45,NA,NA,NA,NA
258,5,32,['2008-05-02'],534,403,534,bat,534,403,2829,403,NA,8,NA,NA,NA
259,5,21,['2008-05-25'],505,283,505,bat,505,283,3019,283,NA,5,NA,NA,NA
260,5,19,['2008-05-03'],239,52,239,bat,239,52,2760,239,9,NA,NA,NA,NA
261,5,27,['2008-05-04'],533,403,403,field,533,403,8782,533,29,NA,NA,NA,NA
262,5,31,['2008-05-04'],423,534,534,bat,534,423,3792,423,NA,8,NA,NA,NA
263,5,14,['2008-05-05'],283,239,239,field,283,239,2658,239,NA,6,NA,NA,NA
264,5,32,['2008-05-06'],534,505,505,field,534,505,7504,505,NA,7,NA,NA,NA
265,5,27,['2008-05-07'],533,423,533,field,423,533,2603,533,NA,7,NA,NA,NA
266,5,33,['2008-05-08'],403,534,534,field,403,534,2235,534,NA,4,NA,NA,NA
267,5,15,['2008-05-08'],52,283,52,bat,52,283,2358,52,5,NA,NA,NA,NA
268,5,31,['2008-05-09'],423,505,423,field,505,423,2759,423,NA,8,NA,NA,NA
269,5,14,['2008-05-28'],283,533,533,field,283,533,4354,533,NA,9,NA,NA,NA
270,5,32,['2008-05-10'],534,239,239,field,534,239,2206,534,18,NA,NA,NA,NA
271,5,21,['2008-05-11'],505,52,52,bat,52,505,2358,52,23,NA,NA,NA,NA
272,5,31,['2008-05-11'],423,403,423,field,403,423,8034,423,NA,3,NA,NA,NA
273,5,19,['2008-05-12'],239,283,283,bat,283,239,7653,239,NA,9,NA,NA,NA
274,5,15,['2008-05-13'],52,403,52,bat,52,403,3812,52,23,NA,NA,NA,NA
275,5,4,['2008-05-14'],533,534,533,field,534,533,4468,533,NA,9,NA,NA,NA
276,5,19,['2008-05-28'],239,423,423,field,239,423,7653,239,41,NA,NA,NA,NA
277,5,33,['2008-05-15'],403,505,505,field,403,505,2545,403,12,NA,NA,NA,NA
278,5,4,['2008-05-16'],533,52,533,field,52,533,8782,533,NA,8,NA,NA,NA
279,5,33,['2008-05-17'],403,239,403,bat,403,239,4463,239,6,NA,NA,NA,NA
280,5,31,['2008-05-17'],423,283,283,field,423,283,8896,423,65,NA,NA,NA,NA
281,5,21,['2008-05-18'],505,533,505,field,533,505,9129,533,25,NA,NA,NA,NA
282,5,15,['2008-05-18'],52,534,52,bat,52,534,8719,534,3,NA,NA,NA,NA
283,5,14,['2008-05-19'],283,403,403,field,283,403,2320,403,NA,5,NA,NA,NA
284,5,15,['2008-05-20'],52,423,423,field,52,423,2759,423,NA,6,NA,NA,NA
285,5,4,['2008-05-21'],533,239,533,field,239,533,7653,239,1,NA,NA,NA,NA
286,5,32,['2008-05-21'],534,283,283,bat,283,534,2395,283,14,NA,NA,NA,NA
