match_id,tournament_id,venue_id,match_date,team_1,team_2,toss_winner,toss_decision,player_of_match,match_winner,match_win_by_runs,match_win_by_wickets,highlights_url,match_url,match_description
152,5,1,['2019-04-18'],536,336,336,bat,2855,336,40,NA,NA,NA,NA
153,5,23,['2019-04-19'],69,359,69,field,2422,359,10,NA,NA,NA,NA
154,5,12,['2019-04-20'],60,336,60,field,7901,60,NA,5,NA,NA,NA
155,5,1,['2019-04-20'],536,479,536,field,2413,536,NA,5,NA,NA,NA
156,5,31,['2019-04-21'],103,69,103,field,2136,103,NA,9,NA,NA,NA
157,5,23,['2019-04-21'],359,531,531,field,2783,359,1,NA,NA,NA,NA
158,5,12,['2019-04-22'],60,536,536,field,2852,536,NA,6,NA,NA,NA
159,5,33,['2019-04-23'],531,103,531,field,8034,531,NA,6,NA,NA,NA
160,5,23,['2019-04-24'],359,479,479,field,8304,359,17,NA,NA,NA,NA
161,5,23,['2019-04-25'],69,60,60,field,2177,60,NA,3,NA,NA,NA
162,5,33,['2019-04-26'],531,336,531,field,2818,336,46,NA,NA,NA,NA
163,5,12,['2019-04-27'],60,103,60,field,3013,60,NA,7,NA,NA,NA
164,5,1,['2019-04-28'],536,359,536,bat,2237,536,16,NA,NA,NA,NA
165,5,23,['2019-04-28'],69,336,336,field,9394,69,34,NA,NA,NA,NA
166,5,31,['2019-04-29'],103,479,479,field,8038,103,45,NA,NA,NA,NA
167,5,23,['2019-04-30'],359,60,60,field,NA,NA,NA,NA,NA,NA,NA
168,5,33,['2019-05-01'],531,536,536,field,2235,531,80,NA,NA,NA,NA
169,5,25,['2019-05-02'],336,103,336,bat,2125,TIE,NA,NA,NA,NA,NA
170,5,1,['2019-05-03'],479,69,69,field,2702,69,NA,7,NA,NA,NA
171,5,1,['2019-05-04'],536,60,60,bat,1586,536,NA,5,NA,NA,NA
172,5,23,['2019-05-04'],359,103,359,field,9269,359,NA,4,NA,NA,NA
173,5,1,['2019-05-05'],479,531,479,field,2974,479,NA,6,NA,NA,NA
174,5,25,['2019-05-05'],336,69,336,field,2855,336,NA,9,NA,NA,NA
175,5,33,['2019-05-07'],336,531,531,bat,3291,336,NA,6,NA,NA,NA
176,5,6,['2019-05-08'],536,103,536,field,2852,536,NA,2,NA,NA,NA
177,5,6,['2019-05-10'],531,536,531,field,8260,531,NA,6,NA,NA,NA
178,5,31,['2019-05-12'],336,531,336,bat,2125,336,1,NA,NA,NA,NA
179,5,24,['2020-09-19'],336,531,531,field,2864,531,NA,5,NA,NA,NA
180,5,20,['2020-09-20'],536,479,479,field,7861,TIE,NA,NA,NA,NA,NA
181,5,24,['2020-10-21'],69,359,69,bat,2534,359,NA,8,NA,NA,NA
182,5,11,['2020-11-03'],336,103,103,field,2636,103,NA,10,NA,NA,NA
183,5,11,['2020-09-22'],60,531,531,field,2926,60,16,NA,NA,NA,NA
184,5,24,['2020-10-24'],69,536,536,field,3039,69,59,NA,NA,NA,NA
185,5,20,['2020-10-24'],479,103,103,field,6252,479,12,NA,NA,NA,NA
186,5,24,['2020-10-28'],359,336,336,field,3291,336,NA,5,NA,NA,NA
187,5,11,['2020-10-09'],536,60,60,field,2079,536,46,NA,NA,NA,NA
188,5,24,['2020-10-07'],69,531,69,bat,2983,69,10,NA,NA,NA,NA
